MAIL_INO,SYS_ID_R_LOCATIONS
1012000002,d340453f-ada4-4c95-ad93-fc43b50efd5c
1013000003,c3bda9a2-a1e7-4b6e-97f9-66068feeb147
1014000004,1ceff96e-fdc6-4f3b-8003-3ee5f1838483
1015000005,b183b30c-ddfa-4910-8e2e-5de45476a534
1021000007,2b7884b0-559d-4cb3-a9c0-93444c33fbd0
1022000008,88528369-8b28-4dbc-a283-d8ef90eea992
1025000011,1a8a5eee-5879-43fd-b1ae-d65a47f106f9
1026000012,7aa0e9e4-6a24-4210-a687-5550754f791e
1033000016,1e786a2a-ca0b-45ab-9db9-19ddd09d2203
1034000017,df41be6d-6865-4315-ae4d-a67eeeec20cc
1035000018,436bcded-1775-4130-918e-e2f3c656a277
1041000019,ffd8d48d-8278-472e-9ecc-52effcf409f0
1031000014,0e552d2d-5667-4b38-87a1-bf347e2b70c7
1032000015,e3d0a05f-ee55-4fdc-b1a1-f9b53fdf1c1d
1042000020,b813934c-3c71-437f-aa61-827e3d00dbcd
1043000021,17803715-d2f5-40e9-a658-7becaaf4e8ed
1044000022,1cfdb08d-2dd9-424f-80c5-088e31b990c4
1045000023,d7e430e1-32ea-4c1c-b5b6-1db559754393
1046000024,b360e7f7-9773-42e9-9780-a7ae017943e7
1052000026,12ec342c-0663-48a3-ba43-a51061ac0090
1053000027,18695980-1554-4cfe-8653-3c7be6cf0bf9
1054000028,4af0ee57-9092-4971-830f-0becc10b4e8f
1055000029,c2089378-9baf-42b7-a987-d6eed829a8e7
1056000030,eb033f51-5cc9-48bc-8ae2-d79f5051dab4
1057000031,6e671c3b-cb73-470a-b9c3-b45dc16b0720
1061000032,3553aef8-2c91-4538-8fdb-8a1e022b5ed2
1062000033,b37d21b2-3cad-483e-a988-146d48d5a6be
1063000034,8346b7fb-2429-4819-b7f2-8ea349c392c8
1064000036,8bdd55b5-ec8b-4f08-95ea-34c3aecc08ce
1064000037,85801fe7-6b8e-47f0-a9c3-3805f662b870
1064000035,6e0913ee-3d37-4549-bf71-65e067feb75d
1065000038,3e9a421b-b4f7-4dd0-a8bd-20a6a1b0c8de
1072000041,6b144b31-97bb-4534-8754-d08048cbae6d
