SYS_ID_TR_MERCHANT_REGISTRATION,MEMBER_BANK_MID
b0cfe825-6343-4e5a-a13c-9137d4714fd4,
8b340d2e-54d1-41de-8334-aea3fcc514af,
8b340d2e-54d1-41de-8334-aea3fcc514af,
3ebd854a-4b4e-47bc-a1a2-b9c755ba2651,
3ebd854a-4b4e-47bc-a1a2-b9c755ba2651,
0d540e39-a9a3-4a39-8777-f6c4b3700089,
0d540e39-a9a3-4a39-8777-f6c4b3700089,
0ea74d0c-a9a7-47ac-9a5e-b4d71be6758a,
0ea74d0c-a9a7-47ac-9a5e-b4d71be6758a,
0d540e39-a9a3-4a39-8777-f6c4b3700089,1999183558
0ea74d0c-a9a7-47ac-9a5e-b4d71be6758a,1999183558
338dd500-3803-4629-aae5-2ea3cfadaf30,
338dd500-3803-4629-aae5-2ea3cfadaf30,
7fe23655-2b18-4541-b5b5-b882cc3a1b3d,
7fe23655-2b18-4541-b5b5-b882cc3a1b3d,
c6fea63c-4286-4d9a-a73f-c3f6fa7b6302,
c6fea63c-4286-4d9a-a73f-c3f6fa7b6302,
6f86a4d0-6550-4516-8974-890247d62d68,
6f86a4d0-6550-4516-8974-890247d62d68,
ad920f75-8dbd-45b0-9725-f7bb59d48890,
6bf37316-d3a8-422b-8098-f83fd0103c62,
7fe23655-2b18-4541-b5b5-b882cc3a1b3d,1999183558
c6fea63c-4286-4d9a-a73f-c3f6fa7b6302,1999183558
6f86a4d0-6550-4516-8974-890247d62d68,1999183558
fee92347-e9ef-4c2d-9865-39fc70c8188a,
fee92347-e9ef-4c2d-9865-39fc70c8188a,
02da633c-8dc9-408f-9783-b22b22ffdaec,000100214297533
58161f19-b5c9-4912-8fc7-9e978755a047,
818b90d9-7113-4cd4-913c-31fea6edd1cb,
f253a297-e85a-4b39-a06b-102419889d97,
3e561c79-80e0-4879-81a2-04306ba0f6cb,
91ea9c01-a691-43fc-9dad-ef5cf43e811d,
3e561c79-80e0-4879-81a2-04306ba0f6cb,
6bf37316-d3a8-422b-8098-f83fd0103c62,
f253a297-e85a-4b39-a06b-102419889d97,1999183558
3e561c79-80e0-4879-81a2-04306ba0f6cb,1999183558
91ea9c01-a691-43fc-9dad-ef5cf43e811d,1999183558
f2c72433-5011-4af7-9f4f-661d27c21f8f,
d1d1e741-0a17-4f54-a262-f3939716f156,
d1d1e741-0a17-4f54-a262-f3939716f156,
0ca6c5b8-4496-42b8-9a7f-4d42d1a88668,
0b754ca0-07c3-481e-972c-9fa60c538920,
6267275d-7b11-4c42-ace6-a3fff54e36fd,
6267275d-7b11-4c42-ace6-a3fff54e36fd,
82aecad4-1889-45e4-ae71-feba5c247d15,
1f1ab103-206e-4df8-be22-b3716aa82e8f,
fc4759ef-7f85-4e50-96d5-78151fd10e1e,
6a16d7f1-e103-45d1-bb3e-50cf53fad035,
6267275d-7b11-4c42-ace6-a3fff54e36fd,1999183559
4b68dff2-1350-464d-a082-e29ea38321c4,
64ff6864-c062-4555-b16b-b44f242535a1,
3b938ec8-fac7-406b-9064-876939ccef2a,
3b938ec8-fac7-406b-9064-876939ccef2a,
d5f4b74b-a962-470e-9023-3120e360e07b,
2e3a0d86-20f5-4f48-ba53-3987e1c25961,
c8a165d2-d4c2-438e-a697-34af48bcc789,
ae6ba460-832a-4d8a-8d30-480911465749,
882b3d25-509e-4462-b74b-228a4e395e4e,
965555dc-9a8f-43f7-ace9-42eab59f584b,
965555dc-9a8f-43f7-ace9-42eab59f584b,
818b90d9-7113-4cd4-913c-31fea6edd1cb,
d47f1c36-afd1-424d-a1b6-7d19a7a2d5b5,
ad920f75-8dbd-45b0-9725-f7bb59d48890,
12f8fcfd-af8c-42cc-97cc-149035c17612,
d997b1a0-d562-4e05-9dbf-e47fa13297fe,
d997b1a0-d562-4e05-9dbf-e47fa13297fe,11111111111
becc24d6-3ceb-4d73-a8d9-e43bc4ad0218,
8f8b8529-ddc7-4e30-8ef5-9289c01ba76e,
a15aecd0-64fe-428f-aa5d-02e407bc7d58,
a15aecd0-64fe-428f-aa5d-02e407bc7d58,
a15aecd0-64fe-428f-aa5d-02e407bc7d58,81010010012
a708802e-5f1a-4e57-9806-402fa5abea6b,
a708802e-5f1a-4e57-9806-402fa5abea6b,
cd79de3c-cbfa-4d7b-9e4b-48e6b9c9c8db,
c83c58c1-8133-45b8-824e-4a1ff9711336,81010010011
c83c58c1-8133-45b8-824e-4a1ff9711336,
a708802e-5f1a-4e57-9806-402fa5abea6b,81010010012
de459247-fa21-4f55-b552-8130cca47af6,
de459247-fa21-4f55-b552-8130cca47af6,
de459247-fa21-4f55-b552-8130cca47af6,81010010012
a15aecd0-64fe-428f-aa5d-02e407bc7d58,81010010011
de459247-fa21-4f55-b552-8130cca47af6,81010010011
8f8b8529-ddc7-4e30-8ef5-9289c01ba76e,
b2840dd6-4780-4cf7-90a2-e0a0d796b8ef,
7bfa1ce1-b5f0-418c-874e-50cfe42d7e30,
