IDTRACKER,APLC_SEQ_NO,MID,TID,MERCHANT NAME,CITY,PROSES PENGAJUAN APLIKASI,TGL APLIKASI MASUK,STATUS APLIKASI,STATUS WR,STATUS WO,PROVIDER_TYP,TMNL_STATUS,TMNL_MODEL,SNO,MER_DTL_ADDR1,MER_DTL_ADDR2,MER_DTL_ADDR3,MID_BRI,MID_BNI,MID_BTN,MID_ASTRAPAY,MID_DANAMON,MID_BSI,MID_OCBC,TID_BRI,TID_BNI,TID_BTN,TID_ASTRAPAY,TID_DANAMON,TID_BSI,TID_OCBC,MEMBER_BANK,DATA_CHNG_DTTM
1881,12004331546,71149342425,74754157,LEMONGRASS THAI MBL,Badung (Kab),Approved,56:05.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,5.73E+19,PT LEMONGRASS THAI BALI,"JL MELASTI LINK LEGIAN KELOD, KUTA",BADUNG,,'000100207901004,'000,,,,,,8819102,,,,,,SINGLE BNI,01:24.0
1882,12004331565,71149342990,74754193,BRUNCH CLUB PERERENAN,Badung (Kab),Approved,01:45.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,7.30E+18,PT LEMONGRASS THAI BALI,JL PANTAI PERERENAN NO 110A,KEC MENGWI BADUNG,,'000100215901731,'000,,,,,,8819303,,,,,,SINGLE BNI,21:23.9
1883,12004331574,71149342518,74754159,BLACK STONE YACHT CLUB MBL,Denpasar (Kota),Approved,10:30.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,5.73E+19,BLACK STONE YACHT CLUB GEDUNG DAILY CRUISE,TERMINAL AREA JL RAYA PELABUHAN BENOA,"KEC DENPASAR SELATAN, DENPASAR",,'000100215339086,'000,,,,,,8812722,,,,,,SINGLE BNI,58:39.1
1884,12004332736,71151361524,74774983,OTTOPAY*TELEMARKETING JAGADIRI,Jakarta Barat (Kota Administrasi),Approved,47:26.0,Approval Completed,,,None,On Operation,,,CITICON TOWER 8TH FLOOR,JL. LETJEN S. PARMAN NO 72 KEL SLIPI,KEC PALMERAH JAKARTA BARAT,,'000100203003301,,,,,,,,,,,,,SINGLE BMRI,51:18.6
1885,12004333714,71151361245,74774979,DOKU*ROYAL KAMUELA UBUD,Gianyar (Kab),Approved,18:19.0,Approval Completed,,,None,On Operation,,,JALAN WENARA WANA SACRED MONKEY FOREST,KEL UBUD KEC UBUD,GIANYAR,,'000100208005609,,,,,,,,,,,,,SINGLE BMRI,50:38.5
1886,12004334950,71149764598,74758293,WENDY KIDS MBL,Bitung (Kota),Approved,59:32.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,5.73E+19,WENDY KIDS MBL,KEL WANGURER TIMUR KEC MADIDIR,BITUNG,,'000100210901168,'000,,,,,,11367705,,,,,,SINGLE BNI,02:30.7
1887,12004334951,71149764691,74758294,GOOD SPEED COFFEE MBL,Bitung (Kota),Approved,02:38.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,5.73E+19,GOOD SPEED COFFEE MBL,KEL MANEMBO NEMBO BAWAH KEC MATUARI,BITUNG,,'000100210068029,'000,,,,,,11367907,,,,,,SINGLE BNI,10:07.0
1888,12004334952,71150077781,74761302,MURAA SUPERMARKET MBL,Gorontalo (Kab),Approved,06:04.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,6.73E+19,MURAA SUPERMARKET MBL JL A.A. WAHAB NO.7 DUSUN 5,"DESA BULILA, KECAMATAN TELAGA",GORONTALO,,'000100210001254,'000,,,,,,11368102,,,,,,SINGLE BNI,35:09.4
1889,12004334952,71150077781,74761303,MURAA SUPERMARKET MBL,Gorontalo (Kab),Approved,06:04.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,7.73E+19,MURAA SUPERMARKET MBL JL A.A. WAHAB NO.7 DUSUN 5,"DESA BULILA, KECAMATAN TELAGA",GORONTALO,,'000100215901621,'000,,,,,,11368103,,,,,,SINGLE BNI,35:09.6
1890,12004334952,71150077781,74761305,MURAA SUPERMARKET MBL,Gorontalo (Kab),Approved,06:04.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,7.73E+19,MURAA SUPERMARKET MBL JL A.A. WAHAB NO.7 DUSUN 5,"DESA BULILA, KECAMATAN TELAGA",GORONTALO,,'000100202900706,'000,,,,,,11368105,,,,,,SINGLE BNI,35:10.1
