IDTRACKER,APLC_SEQ_NO,MID,TID,MERCHANT NAME,CITY,PROSES PENGAJUAN APLIKASI,TGL APLIKASI MASUK,STATUS APLIKASI,STATUS WR,STATUS WO,PROVIDER_TYP,TMNL_STATUS,TMNL_MODEL,SNO,MER_DTL_ADDR1,MER_DTL_ADDR2,MER_DTL_ADDR3,MID_BRI,MID_BNI,MID_BTN,MID_ASTRAPAY,MID_DANAMON,MID_BSI,MID_OCBC,TID_BRI,TID_BNI,TID_BTN,TID_ASTRAPAY,TID_DANAMON,TID_BSI,TID_OCBC,MEMBER_BANK,DATA_CHNG_DTTM
3145,12003689401,71142832616,74685260,MIDI SH44 RAYA SEMPLAK,Bogor (Kota),Approved,2012023,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,JL. RAYA SEMPLAK PERM PERMATA INDAH RESIDENCE,RT.002 RW. 04 KEL SEMPLAK KEC SEMPLAK,BOGOR,1999228672,'000100201900778,'000200711428326163,,,,,10400584,14288903,20034253,,,,,SHARING BMRI-BRI-BNI-BTN,13-FEB-23 12.43.29.533000000 PM
3146,12003852645,71144455318,74702316,KF16 ALFAMART GUDANG PELURU 10,Jakarta Selatan (Kota Administrasi),Approved,2012023,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,JALAN GUDANG PELURU NO.10,KEL KEBON BARU KEC TEBET,JAKARTA SELATAN,1999250209,'000100202134490,'000200711444553185,,,,,10435128,10149802,20033843,,,,,SHARING BMRI-BRI-BNI-BTN,20-FEB-23 09.00.42.200000000 AM
3147,12003963720,71146477300,74722991,STORY COFFEE,Tasikmalaya (Kab),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,9.73E+19,JL WARUNG SUMEDANG RT 031 RW 004,DESA MANONJAYA KEC MANONJAYA,TASIKMALAYA,,'000100204901633,2.00711E+14,,,,,,,20033146,,,,,SINGLE BTN,01-MAR-23 03.59.16.609000000 PM
3148,12002546182,71131497772,74559810,1JZ1 ALFAMART KWG TRAINING 1 ANDROID,Karawang (Kab),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,Android,207GCA157722,PT. SUMBER ALFARIA TRIJAYA ( 1JZ1 ),JL. ALTERNATIF TANJUNG PURA ? KLARI 017/04," DESA MARGASARI KEC KARAWANG TIMUR, KARAWANG",1999229924,'000100207105495,'000200711314977721,,,,,10402310,15186102,20031623,,,,,SHARING BMRI-BRI-BNI-BTN,14-FEB-23 08.08.34.713000000 PM
3149,12004505546,71151667963,74778419,CAPKAROSO REST 1 MBL,Sumba Barat Daya (Kab),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,6.73E+19,PT CAP KAROSO DEVELOPMENT,TANJUNG KAROSO KODI,SUMBA BARAT DAYA,,'000100218900703,'000,,,,,,8834802,,,,,,SINGLE BNI,17-MAR-23 09.23.19.458000000 PM
3150,12003083164,71135171056,74601346,DWIDAYATOUR.CO.ID CENTRE POINT MEDAN - PB 3,Medan (Kota),Approved,2012023,Approval Completed,,,None,On Operation,,,"MALL CENTRE POINT, LG / 02 , JL JAWA NO 8",MEDAN 20231,,,'000100212210330,,,,,,,,,,,,,SINGLE BMRI,18-JAN-23 10.30.35.291000000 AM
3151,12004084098,71146862510,74727321,VAPE LYFE PAYANGAN MBL,Gianyar (Kab),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,6.73E+19,VAPELYFE STORE JL RAYA PAYANGAN,GIANYAR,GIANYAR,,'000100211900826,'000,,,,,,8817803,,,,,,SINGLE BNI,06-MAR-23 07.29.12.246000000 PM
3152,12002549235,71133309409,74577903,MIDI VC17 DEWI SARTIKA,Jakarta Timur (Kota Administrasi),Approved,2012023,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,JL. DEWI SARTIKA NO.316 RT 009/004,KEL.CAWANG KEC.KRAMAT JATI,JAKARTA TIMUR,1999228168,'000100206900952,'000200711333094092,,,,,10398975,15170702,20033341,,,,,SHARING BMRI-BRI-BNI-BTN,12-JAN-23 10.23.52.689000000 AM
3153,12003307360,71138040533,74632899,EXH TOMEPARE DECOR MBL,Makassar (Kota),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,3.73E+19,EXH TOMEPARE DECOR LUXURY WEDDING VAGANZA,LOBBY AREA CLARO JL. A. P. PETTARANI NO. 03,KEL. MANNURUKI KEC. TAMALATE MAKASSAR,,'000100214903585,'000,,,,,,7545301,,,,,,SINGLE BNI,28-JAN-23 06.55.53.611000000 PM
3154,Y0000034860,71151434145,74775857,ALMA SERBA MBL,Pontianak (Kota),Approved,2012023,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,JL AYANI GG SEPAKAT II NO 134,KEC PONTIANAK TENGGARA KEL BAN,,,'000100209209857,'000,,,,,,9642202,,,,,,SINGLE BNI,13-MAR-23 05.21.34.127000000 PM
3155,12004180678,71147828305,74738230,MDS BALIKPAPAN PLAZA,Balikpapan (Kota),Approved,2012023,Approval Completed,,,Telkomsel,On Operation,,,JL. JENDRAL SUDIRMAN NO.1,KEL. KLANDASAN ILIR KEC. BALIKPAPAN SELATAN,BALIKPAPAN,,'000100204901668,,,,,,,,,,,,,SINGLE BMRI,01-MAR-23 02.50.43.050000000 PM
3156,12004080747,71146861608,74727311,KAVA COFFEE AND EATERY 2 MBL,Lombok Timur (Kab),Approved,2012023,Approval Completed,OPEN - SCHEDULED,Pending - Customer,Telkomsel,On Deployment,MOVE2500,6.73E+19,JL TGKH ZAINUDDIN ABD MAJID NO 153,SERUNI SELONG,LOMBOK TIMUR,,'000100205900816,'000,,,,,,8561902,,,,,,SINGLE BNI,02-MAR-23 11.34.33.078000000 AM
3157,12003457660,71141250906,74668076,INDOMARET T0JH - ROTAN PETISAH,Medan (Kota),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,9.73E+19,JL. NIBUNG UTAMA,KEL PETISAH TENGAH KEC. MEDAN PETISAH,MEDAN,1999240602,'000100201004506,'000200711412509068,,,,,10421574,1078703,20032582,,,,,SHARING BMRI-BRI-BNI-BTN,18-MAR-23 07.16.18.531000000 PM
3158,12004441907,71150884785,74770245,EXH PT PEGADAIAN,Jakarta Selatan (Kota Administrasi),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,2.73E+19,PGD 12924 AMBASSADOR,"GRAHA BNI JL. JENDERAL SUDIRMAN NO.1, RW.11",KARET TENGSINKECAMATAN TANAH A,,'000100209006356,'000,,,,,,10141004,,,,,,SINGLE BNI,11-MAR-23 07.59.10.816000000 PM
3159,12004569424,71153026512,74791549,KEDAI KEPO MBL,Semarang (Kota),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,XL,On Operation,MOVE2500,6.73E+19,DAPUR SUNDA PARAGON MALL LANTA 3,JL.PEMUDA NO.118 SEKAYU,SEMARANG,,'000100209006419,'000,,,,,,5585101,,,,,,SINGLE BNI,16-MAR-23 11.43.32.885000000 PM
3160,12004334964,71150078025,74761310,SUMBER ABADI MBL,Palu (Kota),Approved,2012023,Approval Completed,OPEN - SCHEDULED,Created,Telkomsel,On Deployment,MOVE2500,1.73E+19,SUMBER ABADI MBL JL GURU TUA,PALU,,,'000100209006387,'000,,,,,,11369802,,,,,,SINGLE BNI,23-MAR-23 02.31.05.842000000 PM
